index,rand
1,47
2,53
3,46
4,50
5,51
6,49
7,54
8,45
9,48
10,49
11,48
12,51
13,45
14,54
15,47
16,53
17,50
18,51
19,51
20,52
21,52
22,48
23,54
24,49
25,55
26,49
27,51
28,48
29,49
30,54
31,51
32,48
33,48
34,50
35,50
36,53
37,48
38,49
39,49
40,53
41,51
42,46
43,52
44,47
45,51
46,47
47,50
48,52
49,49
50,51
51,53
52,52
53,45
54,48
55,50
56,47
57,45
58,44
59,50
60,55
61,53
62,47
63,47
64,50
65,48
66,49
67,52
68,48
69,48
70,52
71,47
72,50
73,52
74,51
75,51
76,51
77,51
78,51
79,55
80,54
81,51
82,50
83,46
84,48
85,50
86,53
87,50
88,55
89,51
90,50
91,51
92,48
93,49
94,54
95,54
96,48
97,51
98,48
99,50
100,47
101,52
102,50
103,56
104,53
105,49
106,44
107,46
108,51
109,50
110,49
111,48
112,47
113,48
114,50
115,53
116,53
117,49
118,48
119,57
120,54
121,47
122,52
123,48
124,48
125,51
126,49
127,53
128,52
129,52
130,43
131,54
132,47
133,46
134,47
135,49
136,49
137,48
138,53
139,54
140,50
141,46
142,49
143,47
144,47
145,51
146,51
147,50
148,48
149,48
150,51
151,49
152,53
153,52
154,54
155,52
156,52
157,51
158,54
159,51
160,49
161,51
162,50
163,50
164,50
165,52
166,48
167,52
168,51
169,48
170,48
171,49
172,49
173,54
174,49
175,50
176,49
177,54
178,50
179,52
180,48
181,48
182,52
183,49
184,51
185,54
186,48
187,46
188,51
189,48
190,52
191,48
192,50
193,47
194,52
195,48
196,54
197,45
198,54
199,46
200,48
