index,rand
1,57
2,54
3,34
4,40
5,53
6,52
7,59
8,74
9,47
10,50
11,25
12,29
13,58
14,39
15,44
16,47
17,61
18,55
19,68
20,54
21,58
22,61
23,53
24,60
25,43
26,39
27,44
28,42
29,41
30,34
31,55
32,57
33,52
34,72
35,52
36,48
37,31
38,63
39,62
40,53
41,58
42,57
43,45
44,54
45,29
46,44
47,44
48,41
49,61
50,63
51,50
52,65
53,36
54,63
55,71
56,39
57,63
58,40
59,43
60,44
61,51
62,52
63,50
64,48
65,50
66,58
67,60
68,25
69,31
70,64
71,61
72,48
73,43
74,30
75,46
76,55
77,43
78,47
79,49
80,37
81,72
82,51
83,61
84,55
85,49
86,36
87,42
88,51
89,60
90,34
91,58
92,66
93,40
94,41
95,45
96,41
97,73
98,35
99,50
100,61
101,83
102,75
103,63
104,68
105,71
106,74
107,72
108,79
109,88
110,86
111,68
112,69
113,85
114,67
115,69
116,76
117,78
118,77
119,71
120,78
121,69
122,89
123,57
124,65
125,71
126,74
127,72
128,75
129,74
130,70
131,72
132,57
133,85
134,77
135,65
136,69
137,75
138,59
139,57
140,62
141,77
142,76
143,79
144,86
145,80
146,69
147,70
148,75
149,68
150,80
151,62
152,63
153,63
154,82
155,69
156,61
157,71
158,56
159,60
160,70
161,65
162,92
163,63
164,65
165,84
166,86
167,60
168,59
169,86
170,63
171,64
172,56
173,77
174,67
175,85
176,73
177,75
178,65
179,74
180,54
181,58
182,67
183,72
184,71
185,60
186,70
187,79
188,62
189,71
190,77
191,71
192,79
193,61
194,75
195,52
196,62
197,60
198,62
199,62
200,62
