index,rand
1,57
2,54
3,34
4,40
5,53
6,52
7,59
8,74
9,47
10,50
11,25
12,29
13,58
14,39
15,44
16,47
17,61
18,55
19,68
20,54
21,58
22,61
23,53
24,60
25,43
26,39
27,44
28,42
29,41
30,34
31,55
32,57
33,52
34,72
35,52
36,48
37,31
38,63
39,62
40,53
41,58
42,57
43,45
44,54
45,29
46,44
47,44
48,41
49,61
50,63
51,50
52,65
53,36
54,63
55,71
56,39
57,63
58,40
59,43
60,44
61,51
62,52
63,50
64,48
65,50
66,58
67,60
68,25
69,31
70,64
71,61
72,48
73,43
74,30
75,46
76,85
77,50
78,57
79,75
80,44
81,70
82,49
83,57
84,46
85,48
86,69
87,70
88,65
89,73
90,36
91,48
92,62
93,36
94,58
95,58
96,49
97,69
98,52
99,65
100,40
101,65
102,72
103,82
104,79
105,61
106,56
107,70
108,51
109,57
110,82
111,67
112,51
113,55
114,68
115,75
116,61
117,58
118,68
119,48
120,58
121,83
122,47
123,69
124,37
125,61
126,57
127,56
128,55
129,67
130,39
131,61
132,77
133,42
134,51
135,66
136,68
137,55
138,70
139,38
140,74
141,49
142,71
143,51
144,64
145,68
146,74
147,57
148,67
149,43
150,65
151,57
152,73
153,77
154,76
155,90
156,66
157,60
158,87
159,67
160,68
161,64
162,57
163,63
164,64
165,80
166,67
167,68
168,86
169,73
170,64
171,38
172,73
173,66
174,68
175,56
176,65
177,56
178,53
179,72
180,64
181,71
182,78
183,70
184,72
185,75
186,75
187,87
188,77
189,70
190,56
191,77
192,85
193,77
194,72
195,83
196,78
197,67
198,77
199,61
200,68
201,58
202,80
203,77
204,80
205,78
206,66
207,62
208,76
209,75
210,78
211,75
212,48
213,77
214,72
215,83
216,67
217,74
218,71
219,64
220,85
221,63
222,77
223,75
224,78
225,81
